"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 31 07:44:37 GMT 2024","Fri May 31 07:44:37 GMT 2024","0","All tests application","All tests","OrderTests","OrderTests","setUp","setUp",""
"skipped","Fri May 31 07:44:37 GMT 2024","Fri May 31 07:44:37 GMT 2024","1","All tests application","All tests","LoginTests","LoginTests","login","login",""
"skipped","Fri May 31 07:44:37 GMT 2024","Fri May 31 07:44:37 GMT 2024","0","All tests application","All tests","LoginTests","LoginTests","loginAdminUser","loginAdminUser",""
"skipped","Fri May 31 07:44:37 GMT 2024","Fri May 31 07:44:37 GMT 2024","1","All tests application","All tests","LoginTests","LoginTests","loginManagerUser","loginManagerUser",""
"skipped","Fri May 31 07:44:36 GMT 2024","Fri May 31 07:44:36 GMT 2024","1","All tests application","All tests","DashboardTests","DashboardTests","dashboardAdminUser","dashboardAdminUser",""
"skipped","Fri May 31 07:44:36 GMT 2024","Fri May 31 07:44:36 GMT 2024","3","All tests application","All tests","DashboardTests","DashboardTests","dashboard","dashboard",""
"broken","Fri May 31 07:44:37 GMT 2024","Fri May 31 07:44:37 GMT 2024","1","All tests application","All tests","LoginTests","LoginTests","setUp","setUp",""
"broken","Fri May 31 07:44:36 GMT 2024","Fri May 31 07:44:36 GMT 2024","1","All tests application","All tests","DashboardTests","DashboardTests","setUp","setUp",""
"skipped","Fri May 31 07:44:37 GMT 2024","Fri May 31 07:44:37 GMT 2024","1","All tests application","All tests","OrderTests","OrderTests","orderAdminUser","orderAdminUser",""
"skipped","Fri May 31 07:44:36 GMT 2024","Fri May 31 07:44:36 GMT 2024","0","All tests application","All tests","DashboardTests","DashboardTests","dashboardSuperAdminUser","dashboardSuperAdminUser",""
"skipped","Fri May 31 07:44:37 GMT 2024","Fri May 31 07:44:37 GMT 2024","0","All tests application","All tests","OrderTests","OrderTests","orderManagerUser","orderManagerUser",""
"skipped","Fri May 31 07:44:37 GMT 2024","Fri May 31 07:44:37 GMT 2024","2","All tests application","All tests","LoginTests","LoginTests","loginSuperAdminUser","loginSuperAdminUser",""
"skipped","Fri May 31 07:44:37 GMT 2024","Fri May 31 07:44:37 GMT 2024","1","All tests application","All tests","OrderTests","OrderTests","order","order",""
"skipped","Fri May 31 07:44:37 GMT 2024","Fri May 31 07:44:37 GMT 2024","1","All tests application","All tests","OrderTests","OrderTests","orderSuperAdminUser","orderSuperAdminUser",""
"skipped","Fri May 31 07:44:36 GMT 2024","Fri May 31 07:44:36 GMT 2024","1","All tests application","All tests","DashboardTests","DashboardTests","dashboardManagerUser","dashboardManagerUser",""
